ID,Project Name,Camera Trap Name,Latitude,Longitude,Sampling Event,Photo Type,Photo Date,Photo time,Raw Name,Class,Order,Family,Genus,Species,Number of Animals,Person Identifying the Photo,Camera Serial Number,Camera Start Date,Camera End Date,Person setting up the Camera,Person picking up the Camera,Camera Manufacturer,Camera Model,Sequence Info,Moon Phase,Temperature,Organization Name
321,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:12,06160027.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
322,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:13,06160028.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
323,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:13,06160029.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
324,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:25,06160030.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
334,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:57:40,06160040.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
325,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:25,06160031.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
326,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:26,06160032.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
327,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:37,06160033.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
328,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:38,06160034.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Kevin Ostrander,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
329,Berkshire Wildlife Linkage 2017,CAM01-A,42.41313,-73.46945,CAM01A_06152017_06202017,Animal,2017-06-16,06:56:38,06160035.JPG,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Odocoileus,virginianus,1,Andy Wood,B8,2017-06-15,2017-06-20,Andy Wood,Andy Wood,Bushnell,Trophy Cam HD,,,,Field Naturalist Graduate Program
