"animaltype","class"
"Odocoileus_virginianus",17
"Procyon_lotor",19
"Vulpes_vulpes",27
"Homo_sapiens",10
"Canis_latrans",3
"Lynx_rufus",12
"Sciurus_carolinensis",21
"Meleagris_gallopavo",15
"Sylvilagus_floridanus",22
"Turdus_migratorius",24
"Carduelis_tristis",5
"Dumetella_carolinensis",9
"Quiscalus_quiscula",20
"Cardinalis_cardinalis",4
"Zenaida_macroura",28
"Marmota_monax",13
"Corvus_brachyrhynchos",7
"Urocyon_cinereoargenteus",25
"Castor_canadensis",6
"Passer_domesticus",18
"Butorides_virescens",2
"Neovison_vison",16
"Tamias_striatus",23
"Lontra_canadensis",11
"Ardea_herodias",1
"Martes_pennanti",14
"Ursus_americanus",26
"Didelphis_virginiana",8
